,id,Profession,annee_sour,source,Professi_1,localisati,détail,ind_Nom,indiv_titr,associé_n,successeur,ancienne m,nbre_adres,activités,annee_expo,nom_boutiq,type_rue,article_ru,nom_rue,num_rue,cpltnum_ru,ville_rue,autre_vill,infos_rue,unnamed_1,quart/sect,arrondisse,unnamed_2,unnamed_3,geocoder_t,geocoder_s,a_corriger,lon,lat,address,type_1,geometry.type_1,geometry.lng_1,geometry.lat_1,properties.label_1,properties.score_1,properties.id_1,properties.type_1,properties.x_1,properties.y_1,properties.importance_1,properties.name_1,properties.postcode_1,properties.citycode_1,properties.city_1,properties.district_1,properties.context_1,properties.housenumber_1,properties.street_1
0,1,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,abro,,,,,,marchand de cachemires,,,,,"palais royal, galerie de pierre",65,67,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.33814659390176,48.86429964351979,"65 67   palais royal, galerie de pierre",Feature,Point,2.336185,48.862728,Place du Palais Royal 75001 Paris,0.3934696694214876,75101_7010,street,651299.69,6862726.42,0.46453,Place du Palais Royal,75001,75101,Paris,Paris 1er Arrondissement,"75, Paris, Île-de-France",,
1,2,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,acolet,,,,,,march de cachemires,,,rue,des,fossés montmartre,3,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3417440767790203,48.8660580010308,3  rue des fossés montmartre,Feature,Point,2.356366,48.839447,3 Rue des Fossés Saint-marcel 75005 Paris,0.5828584491978609,75105_3751_00003,housenumber,652759.17,6860125.56,0.52909,3 Rue des Fossés Saint-marcel,75005,75105,Paris,Paris 5e Arrondissement,"75, Paris, Île-de-France",3,Rue des Fossés Saint-marcel
2,3,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,ajac,,,,,,fab de cachemires à lyon ; dépôt,,,rue,,croix des petits champs,23,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3396064627553197,48.86344733016811,23  rue  croix des petits champs,Feature,Point,2.339124,48.862466,Rue Croix des Petits Champs 75001 Paris,0.8572770219435736,75101_2453,street,651515.08,6862695.48,0.46453,Rue Croix des Petits Champs,75001,75101,Paris,Paris 1er Arrondissement,"75, Paris, Île-de-France",,
3,4,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,alcan,,,,,,fab et robes mérinos unis et imprimés,,,rue,,coquillière,36,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34131973847163,48.8643409181355,36  rue  coquillière,Feature,Point,2.341339,48.86439,36 Rue Coquillière 75001 Paris,0.951320909090909,75101_2318_00036,housenumber,651679.33,6862908.0,0.46453,36 Rue Coquillière,75001,75101,Paris,Paris 1er Arrondissement,"75, Paris, Île-de-France",36,Rue Coquillière
4,5,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,alinbourg ou Halimbourg,,,,,,"fab brochés, façon cachemire",,,rue,,saint denis,252,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3503121394144104,48.864907307054395,252  rue  saint denis,Feature,Point,2.352664,48.869419,252 Rue Saint-denis 75002 Paris,0.9523227272727272,75102_8525_00252,housenumber,652514.77,6863460.36,0.47555,252 Rue Saint-denis,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",252,Rue Saint-denis
5,6,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"baisnée, e & cie",,,,,,tissus mérinos et impressions,,,rue,des,déchargeurs,4,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3459137041537903,48.859660805634206,4  rue des déchargeurs,Feature,Point,2.346033,48.859645,4 Rue des Déchargeurs 75001 Paris,0.951320909090909,75101_2636_00004,housenumber,652019.38,6862377.62,0.46453,4 Rue des Déchargeurs,75001,75101,Paris,Paris 1er Arrondissement,"75, Paris, Île-de-France",4,Rue des Déchargeurs
6,7,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,barbé proyart & co,,,,,,"succ de condroyer, j. & barbé, a ; fab brochés",,,rue,de,cléry,42,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.346995398113,48.8682222574508,42  rue de cléry,Feature,Point,2.347056,48.868197,42 Rue de Cléry 75002 Paris,0.9523227272727272,75102_2110_00042,housenumber,652102.27,6863327.81,0.47555,42 Rue de Cléry,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",42,Rue de Cléry
7,8,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bauzon,,,,,,fabr façon cachemire,,,rue,de,montreuil,85,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.39073694377015,48.850586638518,85  rue de montreuil,Feature,Point,2.384034,48.850531,Rue de Montreuil 75011 Paris,0.8098157575757575,75111_6530,street,654799.44,6861341.72,0.57464,Rue de Montreuil,75011,75111,Paris,Paris 11e Arrondissement,"75, Paris, Île-de-France",,
8,9,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bayle,,,,,,"associé de la maison Grand, amable & co ; fab cachemires de lyon et cachemires (pure cachemire) de paris",,,place,des,victoires,1,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34071075117762,48.8654877532313,1  place des victoires,Feature,Point,2.340781,48.865503,1 Place des Victoires 75001 Paris,0.951320909090909,75101_9741_00001,housenumber,651639.43,6863032.12,0.46453,1 Place des Victoires,75001,75101,Paris,Paris 1er Arrondissement,"75, Paris, Île-de-France",1,Place des Victoires
9,11,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bellangé & dumas - decombes,,,,,,"fab mérinos et cachemires françaises unis et brochés, et fab de gazes",,,rue,,sainte appoline,13,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3540342184173997,48.8688948286179,13  rue  sainte appoline,Feature,Point,2.353733,48.868926,13 Rue Sainte-apolline 75002 Paris,0.8696780991735537,75102_8538_00013,housenumber,652592.7,6863404.88,0.47555,13 Rue Sainte-apolline,75002,75102,Paris,Paris 2e Arrondissement,"75, Paris, Île-de-France",13,Rue Sainte-apolline
