,id,Profession,annee_sour,source,Professi_1,localisati,détail,ind_Nom,indiv_titr,associé_n,successeur,ancienne m,nbre_adres,activités,annee_expo,nom_boutiq,type_rue,article_ru,nom_rue,num_rue,cpltnum_ru,ville_rue,autre_vill,infos_rue,unnamed_1,quart/sect,arrondisse,unnamed_2,unnamed_3,geocoder_t,geocoder_s,a_corriger,lon,lat,address,type_1,properties.city_1,properties.oldcity_1,properties.street_1,properties.postalcode_1,properties.number_1,properties.inseecode_1,properties.housenumberinfos_1,properties._score_1,properties._type_1,geometry.type_1,geometry.lng_1,geometry.lat_1,properties.housenumberinfos.date_1,properties.housenumberinfos.source_1,properties.housenumberinfos.kind_1,properties.housenumberinfos.otherpositions_1
0,1,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,abro,,,,,,marchand de cachemires,,,,,"palais royal, galerie de pierre",65,67,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.33814659390176,48.86429964351979,"65 67   palais royal, galerie de pierre",Feature,Paris 1er Arrondissement,[],place du palais - royal,75001,,"['75101', '75']",,0.4421487603305784,address,Point,2.337206,48.862388,,,,
1,2,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,acolet,,,,,,march de cachemires,,,rue,des,fossés montmartre,3,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3417440767790203,48.8660580010308,3  rue des fossés montmartre,Feature,Paris 1er Arrondissement,[],rue montmartre,75001,3,"['75101', '75']",,0.6551724137931034,address,Point,2.34546481575126,48.8637889929873,2019-11-05,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.3454', '48.863799']}}]"
2,3,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,ajac,,,,,,fab de cachemires à lyon ; dépôt,,,rue,,croix des petits champs,23,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3396064627553197,48.86344733016811,23  rue  croix des petits champs,Feature,Paris 1er Arrondissement,[],rue croix des petits champs,75001,,"['75101', '75']",,0.9147727272727273,address,Point,2.340315,48.864273,,,,
3,4,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,alcan,,,,,,fab et robes mérinos unis et imprimés,,,rue,,coquillière,36,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34131973847163,48.8643409181355,36  rue  coquillière,Feature,Paris 1er Arrondissement,[],rue coquillière,75001,36,"['75101', '75']",,1.0,address,Point,2.341327,48.864394,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.341545', '48.864478']}}]"
4,5,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,alinbourg ou Halimbourg,,,,,,"fab brochés, façon cachemire",,,rue,,saint denis,252,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3503121394144104,48.864907307054395,252  rue  saint denis,Feature,Paris 2e Arrondissement,[],rue saint-denis,75002,,"['75102', '75']",,0.8268398268398267,address,Point,2.350806,48.866191,,,,
5,6,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"baisnée, e & cie",,,,,,tissus mérinos et impressions,,,rue,des,déchargeurs,4,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3459137041537903,48.859660805634206,4  rue des déchargeurs,Feature,Paris 1er Arrondissement,[],rue des déchargeurs,75001,,"['75101', '75']",,0.9209486166007904,address,Point,2.346031,48.859771,,,,
6,7,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,barbé proyart & co,,,,,,"succ de condroyer, j. & barbé, a ; fab brochés",,,rue,de,cléry,42,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.346995398113,48.8682222574508,42  rue de cléry,Feature,Paris 2e Arrondissement,[],rue de cléry,75002,42,"['75102', '75']",,1.0,address,Point,2.34705,48.868188,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.347178', '48.868151']}}]"
7,8,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bauzon,,,,,,fabr façon cachemire,,,rue,de,montreuil,85,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.39073694377015,48.850586638518,85  rue de montreuil,Feature,Paris 11e Arrondissement,[],rue de montreuil,75011,,"['75111', '75']",,0.87012987012987,address,Point,2.387898,48.850491,,,,
8,9,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bayle,,,,,,"associé de la maison Grand, amable & co ; fab cachemires de lyon et cachemires (pure cachemire) de paris",,,place,des,victoires,1,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34071075117762,48.8654877532313,1  place des victoires,Feature,Paris 1er Arrondissement,[],place des victoires,75001,1,"['75101', '75']",,1.0,address,Point,2.340779,48.865504,2018-10-21,ign,entrance,"[{'date': '2018-10-21', 'source': 'dgfip', 'kind': 'parcel', 'geometry': {'type': 'Point', 'coordinates': ['2.340739', '48.865463']}}]"
9,11,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bellangé & dumas - decombes,,,,,,"fab mérinos et cachemires françaises unis et brochés, et fab de gazes",,,rue,,sainte appoline,13,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3540342184173997,48.8688948286179,13  rue  sainte appoline,Feature,Paris 2e Arrondissement,[],rue sainte apolline,75002,13,"['75102', '75']",,0.9272727272727272,address,Point,2.353901,48.868913,2018-10-21,ign,segment,
