,id,Profession,annee_sour,source,Professi_1,localisati,détail,ind_Nom,indiv_titr,associé_n,successeur,ancienne m,nbre_adres,activités,annee_expo,nom_boutiq,type_rue,article_ru,nom_rue,num_rue,cpltnum_ru,ville_rue,autre_vill,infos_rue,unnamed_1,quart/sect,arrondisse,unnamed_2,unnamed_3,geocoder_t,geocoder_s,a_corriger,lon,lat,address
0,12,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,ber,,,,,,"fab rue du faubourg saint martin ; dépôt rue bourg l'abbé, 51",,,rue,du,faubourg saint martin,39.0,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.356214161952,48.8705743314219,39.0  rue du faubourg saint martin
1,17,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,bosquillon,,,,,,fab,,,rue,,neuve saint eustache,13.0,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34517398917344,48.8672676214252,13.0  rue  neuve saint eustache
2,37,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,domantis,,,,,,fab façon cachemire,,,rue,,saint antoine,206.0,?,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.36528738427066,48.8536953372196,206.0 ? rue  saint antoine
3,59,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,gobert,,,,,,fab,,,rue,du,faubourg saint martin,35.0,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35610954081206,48.8703938940692,35.0  rue du faubourg saint martin
4,68,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"hebert, frédéric & cie",,,,,,fab façon cachemire,,,rue,,saint denis,374.0,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35203314487727,48.8685688628561,374.0  rue  saint denis
5,77,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,isot frères,,,,,,"fab de schals de laine, fab ? Cachemire et cahemires français",,,rue,,saint roch poissonnière,8.0,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34774277629122,48.86886745649,8.0  rue  saint roch poissonnière
6,109,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"prince & durant, d",,,,,,fabr,,,rue,,sainte apolline,9.0,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.35436000021874,48.868845535469596,9.0  rue  sainte apolline
7,116,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"ribault, f",,,,,,fabr,,,rue,,bourbon villeneuve,14.0,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34785240345664,48.8680117849104,14.0  rue  bourbon villeneuve
8,120,schals (fabricants et marchands de),1820,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXIIIe année, année 1820.",A1820,,,"sablet, a. & co",,,,,,"fab façon cachemire, gazes et étoffes de gout",,,rue,,sainte appoline,8.0,,,,,,,,,,precise_geocoding,jacoubet_paris,1,2.3542856797834903,48.868932901030504,8.0  rue  sainte appoline
9,140,chales (fabricans et march. de),1825,"almanach du commerce de Paris, des départemens de la France, et des principales villes du monde, de Jean de la Tynna ; continué et mis dans un meilleur ordre par S. Bottin, XXVIIIe année, 1825.",A1825,,,"guilhery, casimir",,,,,,"fab. châles impr, tissus , art de reims et amiens",,,rue,,croix des petits champs,42.0,,banque,,,,,,,,precise_geocoding,jacoubet_paris,1,2.34026646602592,48.864379391667605,42.0  rue  croix des petits champs
